Package,LibPath,Version,Priority,Built
AlgDesign,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1-7.3,NA,3.4.0
anytime,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.3.0,NA,3.4.1
backports,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.0,NA,3.4.1
BH,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.65.0-1,NA,3.4.3
bit,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1-12,NA,3.4.2
bit64,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.9-7,NA,3.4.2
blob,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.0,NA,3.4.2
brew,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0-6,NA,3.4.0
broom,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4.2,NA,3.4.0
car,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.1-5,NA,3.4.1
cellranger,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.0,NA,3.4.0
chron,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.3-51,NA,3.4.2
cli,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0.0,NA,3.4.3
clipr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4.0,NA,3.4.3
clisymbols,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.2.0,NA,3.4.3
colorspace,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.3-2,NA,3.4.0
colourpicker,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.3,NA,3.4.0
config,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.2,NA,3.4.3
countrycode,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.19,NA,3.4.0
crayon,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.3.4,NA,3.4.3
crosstalk,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0.0,NA,3.4.0
curl,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.8.1,NA,3.4.1
data.table,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.10.4,NA,3.4.0
data.tree,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.7.0,NA,3.4.0
dbConnect,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0,NA,3.4.0
DBI,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.7,NA,3.4.1
debugme,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.0,NA,3.4.3
DEoptimR,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0-8,NA,3.4.0
desc,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.1,NA,3.4.3
devtools,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.13.3,NA,3.4.1
DiagrammeR,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.9.1,NA,3.4.1
dichromat,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.0-0,NA,3.4.0
digest,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.6.15,NA,3.4.3
doParallel,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0.10,NA,3.4.0
downloader,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4,NA,3.4.1
dplyr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.7.2,NA,3.4.1
DT,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.2,NA,3.4.0
e1071,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.6-8,NA,3.4.0
enc,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1,NA,3.4.3
extraDistr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.8.6,NA,3.4.1
extrafont,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.17,NA,3.4.0
extrafontdb,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0,NA,3.4.0
flexdashboard,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.5,NA,3.4.0
forcats,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.2.0,NA,3.4.0
foreach,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.4.3,NA,3.4.0
formattable,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.2.0.1,NA,3.4.0
fortunes,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.5-4,NA,3.4.0
fs,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.0,NA,3.4.3
gdtools,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.5,NA,3.4.1
geosphere,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.5-5,NA,3.4.2
ggimage,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.0,NA,3.4.3
ggiraph,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4.0,NA,3.4.1
ggmap,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.6.1,NA,3.4.2
ggplot2,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.2.1.9000,NA,3.4.0
ggthemes,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,3.4.0,NA,3.4.0
ggvis,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4.3,NA,3.4.0
gh,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0.1,NA,3.4.3
git2r,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.19.0,NA,3.4.1
Gmedian,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.2.3,NA,3.4.0
